Date,weighted_sentiment,adjusted_likes
2021-01-04,0.18486111111111111,18
2021-01-05,0.37176928010261345,99
2021-01-06,0.22082631874298542,18
2021-01-07,0.03277344877344875,10
2021-01-08,0.008593396653098148,67
2021-01-11,0.1248647186147186,12
2021-01-12,0.24019841269841266,30
2021-01-13,0.11193181818181819,56
2021-01-14,0.33422107172107174,74
2021-01-15,0.028015873015872998,15
2021-01-19,0.3552413019079686,27
2021-01-20,0.31142102846648295,33
2021-01-21,0.1287294501133787,24
2021-01-22,0.2701388888888889,90
2021-01-25,0.47051282051282056,26
2021-01-26,-0.029589947089947097,30
2021-01-27,-0.0105564263322884,58
2021-01-28,0.03093998015873015,24
2021-01-29,-0.021462121212121127,55
2021-02-01,-0.22327396413110698,210
2021-02-02,0.005200817700817707,24
2021-02-03,-0.05036549707602336,38
2021-02-04,0.08024691358024691,27
2021-02-05,0.1613527565908518,18
2021-02-08,-0.040085750775405896,87
2021-02-09,0.13216969696969696,20
2021-02-10,0.009937686011904825,32
2021-02-11,0.036776589423648205,51
2021-02-12,0.21684782608695652,46
2021-02-16,0.031761242488854424,67
2021-02-17,0.14133249791144528,19
2021-02-18,0.10572630494505494,26
2021-02-19,0.03117559523809523,40
2021-02-22,0.072,35
2021-02-23,0.041203703703703715,36
2021-02-24,0.07847222222222222,24
2021-02-25,0.08371212121212121,21
2021-02-26,0.13448051948051945,11
2021-03-01,0.0717687074829932,21
2021-03-02,0.07603305785123961,22
2021-03-03,0.11818181818181818,13
2021-03-04,0.14904761904761904,35
2021-03-05,0.3145979020979021,26
2021-03-08,0.26746212121212126,11
2021-03-09,0.25524691358024687,18
2021-03-10,0.08714285714285708,63
2021-03-11,0.2607294372294372,35
2021-03-12,0.2572023526212008,191
2021-03-15,-0.03396990740740743,24
2021-03-16,0.0015432098765432315,18
2021-03-17,-0.060034013605442194,21
2021-03-18,-0.001904761904761898,35
2021-03-19,0.21941800356506239,17
2021-03-22,0.11304945054945054,26
2021-03-23,0.13275162337662336,24
2021-03-24,0.08185185185185183,27
2021-03-25,0.007352941176470601,17
2021-03-26,0.04262845849802373,23
2021-03-29,0.045969460227272725,16
2021-03-30,-0.025195105820105822,24
2021-03-31,0.15300751879699248,19
2021-04-01,0.15897207367795602,17
2021-04-05,0.06373977873977878,33
2021-04-06,0.27917158598976777,22
2021-04-07,0.06791979949874687,38
2021-04-08,-0.09917207792207794,14
2021-04-09,0.054604123946229204,19
2021-04-12,0.058457207207207186,37
2021-04-13,0.10573560606060604,25
2021-04-14,-0.07032609646246012,33
2021-04-15,0.020742063492063496,30
2021-04-16,0.04780303030303028,44
2021-04-19,0.13894931457431456,22
2021-04-20,0.08631854256854254,33
2021-04-21,-0.014829931972789114,35
2021-04-22,0.10998552167078947,112
2021-04-23,0.04970801767676768,64
2021-04-26,0.12083333333333333,14
2021-04-27,-0.02439252894140112,19
2021-04-28,0.0570446735395189,97
2021-04-29,0.21953472222222223,40
2021-04-30,0.22752057613168725,54
2021-05-03,0.0935657596371882,14
2021-05-04,0.2188786008230453,18
2021-05-05,-0.08098223615464993,58
2021-05-06,0.20963888888888885,25
2021-05-07,0.1282180782180782,39
2021-05-10,0.09101055194805192,16
2021-05-11,-0.058750000000000004,20
2021-05-12,0.11805555555555554,20
2021-05-13,0.13969298245614034,19
2021-05-14,0.0834447415329768,17
2021-05-17,0.05387529137529137,26
2021-05-18,0.11810483870967742,62
2021-05-19,-0.0030303030303030372,11
2021-05-20,0.22765462506841816,87
2021-05-21,0.08091224747474746,20
2021-05-24,0.08203252032520322,41
2021-05-25,-0.032313685636856375,41
2021-05-26,0.11709065444359557,51
2021-05-27,-0.008501359751359782,26
2021-05-28,0.18752066115702473,22
2021-06-01,0.1791784688013136,58
2021-06-02,0.09670168067226888,34
2021-06-03,0.0815874136848713,118
2021-06-04,0.07312698412698411,25
2021-06-07,0.10253437290409122,142
2021-06-08,0.18732205778717406,43
2021-06-09,0.11935064935064932,111
2021-06-10,-0.013628472222222193,48
2021-06-11,0.08938888888888888,75
2021-06-14,0.15171568627450974,68
2021-06-15,0.14242222222222223,100
2021-06-16,0.06827332559039874,41
2021-06-17,0.06342537477954148,54
2021-06-18,0.09333010335917312,43
2021-06-21,0.07443632756132755,144
2021-06-22,0.18481611394557823,28
2021-06-23,0.05512820512820513,52
2021-06-24,0.1553849303849304,74
2021-06-25,0.009687500000000022,16
2021-06-28,0.160163139329806,36
2021-06-29,0.17523809523809522,28
2021-06-30,0.13454816017316015,120
2021-07-01,0.10037617554858932,29
2021-07-02,-0.02721354166666666,32
2021-07-06,0.3417989417989418,30
2021-07-07,0.14185987784824988,129
2021-07-08,-0.011005699855699862,25
2021-07-09,0.06477272727272726,22
2021-07-12,0.2633152173913043,161
2021-07-13,0.01226925732141562,139
2021-07-14,0.21355799373040754,58
2021-07-15,0.00957961309523809,96
2021-07-16,0.19497076023391813,19
2021-07-19,0.08677248677248672,21
2021-07-20,-0.012222222222222212,27
2021-07-21,0.16133762071262067,13
2021-07-22,0.02598379629629631,24
2021-07-23,0.20320370370370372,45
2021-07-26,0.21000000000000002,10
2021-07-27,0.10458553791887125,63
2021-07-28,0.22999999999999998,15
2021-07-29,0.17764050764050765,39
2021-07-30,-0.01818181818181819,22
2021-08-02,0.19040404040404038,14
2021-08-03,0.20582729468599031,46
2021-08-04,0.14616387085137084,40
2021-08-05,-0.059447346132128744,92
2021-08-06,0.03554994388327721,54
2021-08-09,0.09053897180762852,67
2021-08-10,0.1461864406779661,59
2021-08-11,-0.16314557776977817,67
