Date,Tweet ID,Text,Username,Likes
2022-10-01 23:56:38+00:00,1576360470415822848,@ArthurC65885248 @Richard35775465 I grew up in the #1 zone at that time We built and refurbished the USS COLE. I lived between 2AFB a shipyard and Chevron Oil refinery.I’d rather be a GROUND ZERO ONE ZONE if a nuke hits😉,pgmthe1st,1
2022-10-01 23:48:23+00:00,1576358396692873216,"“Major oil companies not declaring significant source of GHG emissions—millions of tonnes of undeclared emissions from gas flaring at BP, Eni, ExxonMobil, Chevron &amp; Shell oil fields—Flaring is ""wasteful"" burning of excess gas released during oil production”https://t.co/fZ5jVntPnJ",GreenAwakening,5
2022-10-01 22:54:30+00:00,1576344834964869121,"Many years ago, this car could cruise steadily at 70mph in style, powered by....WATER.
WATER. 
Its like when the oil indusrty killed the electric car in 1996 when Chevron bought the patent to the battery tech in the GM1 and Toyota RAV, killed the project

https://t.co/IuQovzNJ3m",WBrexiteer,0
2022-10-01 22:14:09+00:00,1576334680529375232,@OppenheimAviel @AnCapitain @IlhanMN Chevron oil pollution in the Ecuadorian Amazon https://t.co/e1I80IAij6,Janesienna2,0
2022-10-01 22:13:18+00:00,1576334467115126784,@PanCuKroket @SDonziger @Chevron @samsinger I don’t believe oil companies and not doing bad but that is besides the point that people criticizing oil companies while also heavily using and needing their products is hypocritical.,RealFrankyDog,0
2022-10-01 21:40:15+00:00,1576326151672242176,"@argonbeam88 @AmyJaffeenergy @johnwhi60696884 @SecGranholm @USTreasury @Chevron @POTUS @exxonmobil Agree. JA just an easy target 

It’s truly amazing, ESG logic 

New England is upset it can’t get fuel oil from any marine vessel 

it’s burning a lot of that fuel oil for power gen. But it never would have needed to burn fuel oil for power had it built pipes instead https://t.co/4TLjkvcZse",ctrlopenbracket,1
2022-10-01 21:39:08+00:00,1576325870179954688,"Whatever you do today, watch this! Share this!

https://t.co/kZSiUPsc7j

After an 18-year, multinational court battle, @chevron was found guilty in an Ecuadorian court and fined $9.5 billion for massive oil pollution that amounted to an ecological disaster",KerryKennedyRFK,22
2022-10-01 21:28:22+00:00,1576323157748723712,"@AmyJaffeenergy @johnwhi60696884 @SecGranholm @USTreasury @Chevron @POTUS @exxonmobil Right, so we can get more oil from places like Russia and also have think tank wonks blame big oil about insufficient refined product supplies due to declining refining capacity

ESG an incredibly destructive force for environment and human progress",ctrlopenbracket,0
2022-10-01 21:15:55+00:00,1576320026499461121,"Instead of tweeting - please call all the oil and refinery company CEOs and ask them why our prices are so high and then report back what they say to the people
@Chevron @ValeroEnergy @arco @Shell @Phillips66Co @MarathonPetroCo etc

Cc: @CAgovernor",greentele,0
2022-10-01 21:13:57+00:00,1576319530787172354,"Instead of tweeting - please call all the oil and refinery company CEOs and ask them why our prices are so high and then report back what they say to the people
@Chevron @ValeroEnergy @arco @Shell @Phillips66Co @MarathonPetroCo etc",greentele,0
