Date,Tweet ID,Text,Username,Likes
2022-05-01 23:46:36+00:00,1520912601370091520,"@SpeakerPelosi @ZelenskyyUa @GavinNewsom (2/2) And the best part is that @GavinNewsom, @SpeakerPelosi, and @RepSwalwell are all hypocrites. Gavin went to oil billionaire Ivy Getty's wedding, where Nancy officiated, and Swalwell's mom works Chevron. None of them want to end oil, especially not in CA. It's all for show.",12345zyx,0
2022-05-01 23:36:05+00:00,1520909957696299009,"If .@exxonmobil .@Chevron .@bp_plc  continue to price gouge global communities for oil,they must be held RESPONSIBLE for hundreds of millions of lives lost to starvation. THIS GREED MUST END!.@SenatorDurbin .@RepSpeier .@ossoff .@RepSwalwell .@CoryBooker .@AOC .@RepJayapal",BobbiefromIL,0
2022-05-01 23:33:58+00:00,1520909424570904577,"If .@exxonmobil .@Chevron .@bp_plc  continue to price gouge global communities for oil,they must be held RESPONSIBLE for hundreds of millions of lives lost to starvation. THIS GREED MUST END!.@Bundeskanzler .@BorisJohnson .@EmmanuelMacron .@jacindaardern .@USAmbUN .@WCKitchen",BobbiefromIL,0
2022-05-01 23:28:59+00:00,1520908169135992840,"If .@exxonmobil .@Chevron .@bp_plc  continue to price gouge global communities for oil,they must be held RESPONSIBLE for hundreds of millions of lives lost to starvation. THIS GREED MUST END!.@amyklobuchar .@SherrodBrown .@tammybaldwin .@RonWyden .@SenatorCantwell .@SenSanders",BobbiefromIL,0
2022-05-01 23:27:27+00:00,1520907783771758592,"If .@exxonmobil .@Chevron .@bp_plc  continue to price gouge global communities for oil,they must be held RESPONSIBLE for hundreds of millions of lives lost to starvation. THIS GREED MUST END!.@POTUS .@WHCOS .@UN .@NATO .@EU_Commission .@SenSchumer .@SpeakerPelosi .@SecGranholm",BobbiefromIL,0
2022-05-01 23:24:30+00:00,1520907041652416512,@SDonziger @StevenTaylor227 @Chevron @gibsondunn Big oil or humanity; which side are on?,richard_profumo,0
2022-05-01 23:17:10+00:00,1520905196695556096,"The more polluting, corrupt UNAMERICAN oil and companies @exxonmobil @Chevron @bp_America @Shell @conocophillips manipulate oil and gas prices to feed their f’cking greed, the more I hope @POTUS goes all in to get US off of oil and gas FOREVER!",Abhinary,0
2022-05-01 23:12:29+00:00,1520904017307750400,@briantylercohen Is there a price agreement between companies in the oil and gas companies as prices see rather close from Exxon to chevron to BP isn’t that price fixing?,DianeLois4,0
2022-05-01 23:11:35+00:00,1520903790572019712,"@iamReneValle @mikecinOH @RepStefanik Yet Fox Business reports “Exxon, Chevron earnings surge on high oil, gas prices”.",ThomasW47646290,1
2022-05-01 23:05:29+00:00,1520902255213531136,@WAR527 @pickeringenergy I mean .. Chevron and Oxy have a fairly substantial business of real oil and gas with fake virtue signaling other stuff that is &lt;5% of investment??  What would you buy?  Conoco?,DavidRamsdenWoo,1
2022-05-02 23:47:20+00:00,1521275175748186112,"@SenJohnThune Oil company profiteers, Chevron made 5 Billion this quarter. Your all claiming its a crisis at the border but it happens every Spring. AFG was tragic. Uncle Trumpy spent trillions.",loftywishes,2
2022-05-02 23:38:09+00:00,1521272863805919233,"@ByronDonalds The Government @POTUS
Is Not Responsible For
Increases In Prices.
Exxon 23 Billion 
BP 12.8 Billion
Shell 19.3 Billion
Chevron 15.6 Billion
Republican Friends
Oil Addiction=Campaign Donations https://t.co/r9sg9ODhM8",Macheter0,14
2022-05-02 23:33:41+00:00,1521271741506592768,"@gtconway3d ""Joe Biden did that!""

""Really? Did you see that Exxon and Chevron posted record profits - not sales - profits this quarter?""

""Well, duh, what do you expect them to do, they're oil companies - supply and demand!""

""So where's your 'capitalism did that' sticker?""",DelanteMedia,11
2022-05-02 23:29:11+00:00,1521270608507592706,USW Oil Workers Will Highlight Chevron Strike at Global Conference in Beverly Hills https://t.co/T9HcaMJDqO via @Benzinga,GREGORYABUTLER,1
2022-05-02 23:26:13+00:00,1521269862923915267,@RepKatiePorter @exxonmobil @Chevron Because oil companies don’t set prices!,BennettBernard7,0
2022-05-02 23:15:13+00:00,1521267092875407361,"Big Oil, Big Profits: Chevron Records $6.3B Profit, Exxon $5.5B — in Just Three Months | Democracy Now! https://t.co/pvaH2lj2oJ",ranumpowerplay,1
2022-05-02 23:09:29+00:00,1521265649967763457,"Big Oil, Big Profits: Chevron Records $6.3B Profit, Exxon $5.5B — in Just Three Months",ShakilRai2,4
2022-05-02 23:09:06+00:00,1521265555520598019,"@RepKatiePorter HI Rep. Porter,

The Bloomberg piece had a pay wall. This ⬇️ looks like it might be covering the same situation.

""Exxon, Chevron will spend more on stock returns than production"" - World Oil
https://t.co/yJImtNOgh2",haleba07,0
2022-05-02 23:00:24+00:00,1521263366236516354,"@AmazonPost @MSNBC Multibillion dollar oil company has legal and social media departments set up Twitter account to destroy the credibility of one man. 

He must be telling the truth. But I will certainly research Chevron in Ecuador. Well played Chevron execs!",CalenLang,97
2022-05-02 22:50:45+00:00,1521260935683391490,"@RepKatiePorter @exxonmobil @Chevron Didn’t the oil and gas companies get Covid bailout money under Trump? Democrats we’re against, but Republicans pushed through? Now, they are price gouging.",Jules74422944,0
2022-05-03 22:17:32+00:00,1521614962736652290,$CVX Chevron Corp.  Can this stock still move higher? Elliottwave View and more @ https://t.co/a1a0vzhtXS #Elliottwave #trading #stocks #oil #energy,ElliottForecast,1
2022-05-03 19:40:54+00:00,1521575545598881802,Chevron is partnering with offshore oil producer Talos Energy to develop a project that would store carbon dioxide beneath the Gulf of Mexico just off the Texas coast https://t.co/DVmI2TNNqo via @business,dmreed04,1
