Date,Tweet ID,Text,Likes,cleaned_text
2021-01-06 23:54:09+00:00,1346968328108187648,$BLSP  Holland plant making money. $100+ million loans to build more approved any  day now. PT:   .03 - .10+ Let’s make that money!  $MMM $AXP $AMGN $BA $CAT $CVX $CSCO $KO $DOW $GS $HD $HON $IBM $INTC $JNJ $JPM $MCD $MRK $MSFT $NIKE $PG  $CRM $TRV $UNH $VZ $V $WMT $DIS,6,blsp holland plant making money 100 million loans build more approved any day now pt 03 10 let s make that money mmm axp amgn ba cat cvx csco ko dow gs hd hon ibm intc jnj jpm mcd mrk msft nike pg crm trv unh vz v wmt dis
2021-01-06 23:30:17+00:00,1346962321596428288,UPDATE 2-Big Oil's climate targets $EQNR $CVX $E https://t.co/rEfTQmH2OL,0,update 2 big oils climate targets eqnr cvx e
2021-01-06 23:09:07+00:00,1346956996537438210,"@TCII_Blog Also, you may want to start highlighting the new hot topic in oil majors = Breakeven costs.  Big risks for some, less for others.  RDS &amp; BP much more attractive than XOM.  CVX in decent.  RDS can cover capex and dividends at 35 bbl.",1,also you may want start highlighting new hot topic oil majors breakeven costs big risks some less others rds amp bp much more attractive than xom cvx decent rds can cover capex dividends at 35 bbl
2021-01-06 22:18:55+00:00,1346944361431527424,"Tomorrow’s #watchlist for #NYSE, #NASDAQ between $80 and $90: $CVX $MRK $PENN $RUN $XLI",0,tomorrow s between 80 90 cvx mrk penn run xli
2021-01-06 22:17:27+00:00,1346943991821062144,Wtf even is America lol,0,wtf even is america lol
2021-01-06 22:16:10+00:00,1346943670143000576,Alert [Press/News Current Report] / Form 8-K filed with the SEC  $CVX CHEVRON CORP  https://t.co/P7C24cBJ8B,0,alert form 8 k filed with sec cvx chevron corp
2021-01-06 22:15:49+00:00,1346943582536536066,"$CVX / Chevron files form 8-K - Financial Statements and Exhibits, Other Events -  8-K https://t.co/YiWQxbO9h6",0,cvx chevron files form 8 k financial statements exhibits other events 8 k
2021-01-06 21:52:21+00:00,1346937674435874817,"Behold the power of the 200D &amp; 10D moving average. The price of $CVX was propped up on the 200D for 2 weeks. Once the 10D was reclaimed, a 6% breakout in 2 days. My price target on this is $122.20. That is its ""pre covid dump level"" which I feel is realistic in the next 3 months https://t.co/lDTPaLvGlS",0,behold power 200d amp 10d moving average price cvx was propped up 200d 2 weeks once 10d was reclaimed 6 breakout 2 days my price target this is 122 20 that is its pre covid dump level which i feel is realistic next 3 months
2021-01-06 21:47:52+00:00,1346936545757061122,This Stock Market Sector Will Dominate 2021 @themotleyfool #stocks $WMT $AMZN $CVX $UNP $RDS.A $COST $MSFT $AAPL $TSLA $KO $BA $XOM $RTX $UPS $RDS.B $PEP $TSM $PG $NVDA $HD $HON $PTR $TOT $NKE $ADBE $XLP $XLE $XLI $XLY $BABA $XLK https://t.co/YNLPT2ORIQ,0,this stock market sector will dominate 2021 wmt amzn cvx unp rds cost msft aapl tsla ko ba xom rtx ups rds b pep tsm pg nvda hd hon ptr tot nke adbe xlp xle xli xly baba xlk
2021-01-06 21:47:11+00:00,1346936375287795715,This Stock Market Sector Will Dominate 2021 @themotleyfool #stocks $WMT $AMZN $CVX $UNP $RDS.A $COST $MSFT $AAPL $TSLA $KO $BA $XOM $RTX $UPS $RDS.B $PEP $TSM $PG $NVDA $HD $HON $PTR $TOT $NKE $ADBE $XLP $XLE $XLI $XLY $BABA $XLK https://t.co/YNLPT36sAo,1,this stock market sector will dominate 2021 wmt amzn cvx unp rds cost msft aapl tsla ko ba xom rtx ups rds b pep tsm pg nvda hd hon ptr tot nke adbe xlp xle xli xly baba xlk
2021-01-07 23:52:18+00:00,1347330251010027521,Should I be thinking about the alternatives I have because of this is getting a high risk for me ? I can't imagine how dramatic it would have been if this had happened during the Christmas season. 11/11,0,should i be thinking about alternatives i have because this is getting high risk me i cant imagine how dramatic it would have been if this had happened during christmas season 11 11
2021-01-07 23:52:18+00:00,1347330249726554114,"As an entrepreneur, I wear multiple hats and I always have a lot to do. I don't really have time and energy to spend on false-positives. Shopify is supposed to help me and my shop but right now it is painful. 10/11",0,as entrepreneur i wear multiple hats i always have lot do i dont really have time energy spend false positives shopify is supposed help me my shop but right now it is painful 10 11
2021-01-07 23:52:18+00:00,1347330248422121475,I have no guarantee than the next person I do business with won't be affected too. I don't have that ban list for obvious reasons. I also have no guarantee that I won't get any trouble in future because one of your automated process has flagged my shop again. 9/10,0,i have no guarantee than next person i do business with wont be affected too i dont have that ban list obvious reasons i also have no guarantee that i wont get any trouble future because one your automated process has flagged my shop again 9 10
2021-01-07 23:52:17+00:00,1347330245628751877,"Again, no other option than complying and no really human interaction here. I am pretty sure that you have at least 2 cellphones and 2 personal emails to warn us about the problem. There are an incredible amount of people on @Upwork, are you going to ask ID for all of them ? 7/11",0,again no other option than complying no really human interaction here i am pretty sure that you have at least 2 cellphones 2 personal emails warn us about problem there are incredible amount people are you going ask id all them 7 11
2021-01-07 23:52:17+00:00,1347330244328497153,"Again that is a false-positive, this person is not working with me, the account is deactivated. This kind of actions, only based on a first-name, last-name, email is, in my opinion, terrifying. And can be easily bypassed (who trust user input ?) 6/11",0,again that is false positive this person is not working with me account is deactivated this kind actions only based first name last name email is my opinion terrifying can be easily bypassed who trust user input 6 11
2021-01-07 23:52:16+00:00,1347330242998894594,"This time, you left a 1 day notice to provide you ID of someone I haven't started to work with, and not in my current Timezone.
On top of that you will suspend the whole shop (cut it from the web) if I don't provide such documents within 2 days. 5/11",0,this time you left 1 day notice provide you id someone i havent started work with not my current timezone top that you will suspend whole shop cut it web if i dont provide such documents within 2 days 5 11
2021-01-07 23:52:16+00:00,1347330241589620742,"Basically all my operations are frozen : I can't see, fulfill or track orders. The whole admin dashboard and API is suspended. This time, the claim is that I have a _deactivated_ staff account name matching some government ban list. 4/11",0,basically all my operations are frozen i cant see fulfill or track orders whole admin dashboard api is suspended this time claim is that i have deactivated staff account name matching some government ban list 4 11
2021-01-07 23:52:16+00:00,1347330240243265536,"This is not a top seller product, still the action was to hold money from all sales on the entire shop. And it was done without any notice, simply an email stating it was now locked. No other option than complying.
Today, I got completely locked out of my shop.  3/11",0,this is not top seller product still action was hold money all sales entire shop it was done without any notice simply email stating it was now locked no other option than complying today i got completely locked out my shop 3 11
2021-01-07 23:52:15+00:00,1347330238905262081,"The first time, you suspended payouts claiming one of the product on the store was containing illegal ingredient (cannabis). My shop has 200+ variants, only a couple are actually Hemp oil, which Latin name match the forbidden ingredient. 2/11",0,first time you suspended payouts claiming one product store was containing illegal ingredient cannabis my shop has 200 variants only couple are actually hemp oil which latin name match forbidden ingredient 2 11
