Date,Tweet ID,Text,Username
2021-02-01 23:27:32+00:00,1356383715769913350,"Chevron and Exxon discussed merger last year after Covid pandemic devastated oil prices, reports say https://t.co/sKr4VTHCFc",BaronianConsult
2021-02-01 23:04:38+00:00,1356377951697317888,"While some competitors are investing in renewables, Chevron and Exxon believe ""the world will need vast amounts of fossil fuels for decades to come, and that they can capitalize on current underinvestment in oil production,"" -WSJ.",OyikiGreat
2021-02-01 23:00:43+00:00,1356376963997339649,"Definitely not trusting of this.

CEOs of oil giants Exxon, Chevron discussed mega merger: Reports https://t.co/2XNi0G5aVL via @AJEnglish",bluwndzdancing
2021-02-01 22:58:54+00:00,1356376507652972552,"Reports that Exxon and Chevron discussed a possible merger last year indicates just how troubled Exxon’s strategic footing really is. 

So where does it go from here?

Read the full story (free): https://t.co/65WCenA3aW $XOM #oil",energyintel
2021-02-01 22:54:30+00:00,1356375402831294465,"Shell: so-called because they are husks of humanity.

(Same story with Texaco&gt;Chevron in Ecuador. Same story with #ExxonKnew. Same story with every oil company)

We are not safe until they are being carefully wound down and asset stripped for the energy transition",schofeld
2021-02-02 21:39:25+00:00,1356718893818028032,"@CarbonEngineer your oil and gas funders, @oxy and @chevron, are very happy you're pushing their messaging... 

sadly net zero isn't what we need and your company is just making things worse perpetuating this spin...",LeftyTakes
2021-02-02 21:16:30+00:00,1356713128029868033,"@HectorinMiami Guaidó had no spine to do anything in 2 yrs. Sanctions are a good side measure but they alone never change regimes. In 46's case, US oil companies are pressuring to let them back into buying Venezuelan gas. Trump sanctions were a joke anyway as Chevron + others had exemptions.",Mr_Zach_Foster
2021-02-02 21:06:57+00:00,1356710722588262402,"""in the three years following the Paris Agreement, the five largest publicly-traded oil and gas majors (ExxonMobil, Royal Dutch Shell, Chevron, BP and Total) have invested over $1Bn of shareholder funds on misleading climate-related branding and lobbying.""
https://t.co/nyJGRdJfIU",CrwdsrcingSusty
2021-02-02 20:57:05+00:00,1356708240281636864,"The dying Oil sector embraces M&amp;A

Recent events in the oil sector were predicted but still shocking. Husky energy was acquired by Cenovos, resulting in over 2000. Chevron and Exxon are about to hit the ring. https://t.co/xYSuSDxGqk",NOmorotionmwan
2021-02-02 20:47:41+00:00,1356705874744664065,"@mariana_txt @exxonmobil @Aramco @Chevron @bp_plc @Shell @PetrochinaID @sinopecnews Hi, what's your oil production cost (per barrel)? thanks",sitedojulio
2021-02-03 23:57:01+00:00,1357115910813843459,Stonehenge estate after Chevron oil Lekki lagos has plots of land for SALE at #20m per plot...call +2348027447996  mr nwokolo Henry to book an inspection tour of the site to enable a buying decision...,vaquest
2021-02-03 23:55:04+00:00,1357115420457730054,"Stonehenge estate after Chevron oil Lekki lagos has plots of land for SALE at #20m per plot...call +2348027447996  mr nwokolo Henry to book an inspection tour of the site to enable a buying decision,,,,,,",vaquest
2021-02-03 23:53:31+00:00,1357115026738454531,"Stonehenge estate after Chevron oil Lekki lagos has plots of land for SALE at #20m per plot...call +2348027447996  mr nwokolo Henry to book an inspection tour of the site to enable a buying decision,",vaquest
