Date,Tweet ID,Text,Username,Likes
2022-06-01 23:59:03+00:00,1532149762392309761,@Chevron Don’t let gov tell you what to do as they don’t care people are suffering badly. They want to close oil companies as well,RobertA15891551,3
2022-06-01 23:44:08+00:00,1532146007219195904,"@RepStefanik No they are the direct result of Exxon, Chevron, and Shell making Windfall profits. They are the one increasing gas prices not Biden. Biden does not set gas prices. Implement a windfall profit tax. Of that right Big Oil has bought you!!  #WindfallTax",keithlb,0
2022-06-01 23:40:44+00:00,1532145150750867457,"@Jim_Jordan Tell Exon, Shell, Texaco, Chevron, the oil Oligarchs are getting richer, your part of the problem, here's proof, so stop gaslighting your uneducated voters...gym! https://t.co/WzjA8vtskZ",atxsouthside04,0
2022-06-01 23:36:52+00:00,1532144177374408709,"When Chevron's PAC is maxed out to you, don't tell voters you aren't taking oil $$$$. Everyone is smarter than that.

And, I don't understand why anyone would claim they signed an anti-Big Oil money pledge if they actually didn't.

Color me confused.",EvanMMinton,12
2022-06-01 23:18:44+00:00,1532139614734934017,"$BRK.A $BRK.B $BRK OIL GAS ENERGY BOOM 
While Increasing Their Stake 316.21%
Second Largest Holder In $CVX Chevron
@petenajarian https://t.co/yPzCW2InOi",Icon00007,0
2022-06-01 23:14:51+00:00,1532138638829445120,"@JakeEvansGA The profits Big Oil raked in last quarter:

Shell: $9.1 billion
Chevron: $6.3 billion
BP: $6.2 billion
Exxon: $5.4 billion

This is called pricing gouging",Mad_as_heII,147
2022-06-01 23:10:51+00:00,1532137631877943297,"@Chevron Never forget American taxpayers pay billions of monies for research excavation and refinery of oil and its petroleum products and polymers.

Where are those billions now coming back as maybe a little bit of appreciation?

Maybe a promoted tweet about that would be the right thing",Really4Equality,1
2022-06-01 23:09:03+00:00,1532137175923318785,"@tedcruz Just FYI... oil and gas companies are canceling their leases in Alaska. Hilcorp, Chevron and Regenerate Energy have all canceled their leases. To keep oil and gas prices high? Collusion? Seeking more tax breaks from GOP?",laelia51,31
2022-06-01 22:24:38+00:00,1532125998207995905,"Chevron Colorado works to deliver the energy our state needs while helping build a brighter future. 

According to @CREDorg, Colorado's oil and gas industry has generated $1.3 billion in the last 10 years for parks, roads, and infrastructure for our state. 

#energystrong https://t.co/hNo0OgIWfh",ChevronColorado,4
2022-06-01 22:13:58+00:00,1532123313706786816,"@RepStefanik It should be noted: Major oil companies like BP, Exxon, Shell, Chevron, etc are POSTING RECORD PROFITS ⬆️. Stop tweeting misinformation",K12PJcberDUp4B,0
2022-06-02 23:53:48+00:00,1532510826778701824,"@IrguIrv @JessicaSFishman @Chevron You criticized someone for saying oil companies do bad shit- like producing plastic for every conceivable consumer item, often when it’s totally unnecessary. Meanwhile plastic lasts virtually forever and continues to pollute the planet.",Chaospress32,1
2022-06-02 23:32:22+00:00,1532505431997915137,@ronaldt53931532 @rosanne_sacto @johnrich @Chevron @exxonmobil The reason that U.S. oil companies haven't increased production is simple: They decided to use their billions in profits to pay dividends to their CEOs and wealthy shareholders and simply haven't chosen to invest in new oil production,KDSmith39,1
2022-06-02 23:29:45+00:00,1532504774607679490,@ProudSocialist The problem is the oil companies have the power to destroy our economy and any political opposition. They are holding us ransom. I don’t see massive demos outside of Exxon or Chevron headquarters.,MARKSHA58198623,1
2022-06-02 23:04:49+00:00,1532498499895705600,"@AbsentHog @StuartBDonovan The real carbon vandals aren't necessarily Hummer drivers, but rather the Big Oil monopolies like ExxonMobil, BP, Chevron, Koch Industries etc.",kumararepublic,1
2022-06-02 23:00:17+00:00,1532497359141326863,"Progress! An overwhelming 98% of @Chevron investors voted in favor of a proposal from @MercyInvests calling on the oil and gas major to issue an analysis on the reliability of its methane disclosures. 
https://t.co/MjrlyatsPB",AsYouSow,0
