Date,Tweet ID,Text,Username,Likes
2022-08-01 23:46:36+00:00,1554252288524419073,@Jim_Jordan There was no tax increase on the oil companies yet Exxon and chevron made almost 30 billion but we paid for their profit at the pump .,Parkdes,0
2022-08-01 23:09:25+00:00,1554242930184859651,"While gasoline prices soared to record highs, conditions for Big Oil companies haven’t looked this good in years. Exxon made nearly $17.9 billion in profit between April and June, almost four times what it earned during the same period in 2021. Chevron and Shell also gained.",SignsofEndTimes,0
2022-08-01 23:06:58+00:00,1554242311458099206,"#VoteBlue

Dems try to help you at the gas pump 

While the GOP supports price-gouging &amp; you suffer😡 

The GOP refuses to act despite record-shattering oil company 2nd quarter profits:   

Exxon Mobil: $17.85B
Chevron: $11.62B
Shell: $11.5B

#EndTheGOP

#wtpBLUE #wtp1442 https://t.co/gSS0PTJtsX",wtpBLUE,495
2022-08-01 22:41:00+00:00,1554235778896732161,"The four leading Western majors to report so far culled more than $50 billion in adjusted earnings for the three-month period.

Read more &gt;&gt; https://t.co/YlMigO5Ddu

#Energyintelligence #Oil @Chevron @exxonmobil",energyintel,2
2022-08-01 22:35:33+00:00,1554234406931517446,"Exxon, Chevron post blockbuster profits on oil price boom

https://t.co/DVssALUWnz",HarlemGirl59,0
2022-08-01 22:21:38+00:00,1554230905169854469,"While hardworking families struggled to pay record high gas prices...

❌ ExxonMobil made $2,245.62 per second
❌ Chevron made $1,462.11 per second

And guess who owns stock in Chevron + received donations from Oil and Gas companies? @AdamLaxalt! Laxalt is just not for us.",SomosVotantes,2
2022-08-01 21:46:12+00:00,1554221986112471041,"The drilling for oil contributes to deforestation to access drilling sites and pollution via oil spills from pipelines, contributing to climate change and the loss of biodiversity. We need to protect our rainforests. #GISH @amazonwatch @Chevron @bp_America @Shell @FronteraEnergy https://t.co/GcMmGmvdcZ",MecirKimberly,4
2022-08-01 21:42:22+00:00,1554221021607124992,"Also today, oil giants ExxonMobil and Chevron reported historic profits from the last three months. Exxon made $17.9 billion (not a typo) last quarter, up 273% from the same time last year, while Chevron made $11.6 billion. Well I guess Joe Biden isn’t the one screwing us!",wbfowler,0
2022-08-01 21:42:06+00:00,1554220955748139013,"@SenRickScott @JoeBiden Yeah, this inflation has nothing to do with price-gouging by corps like Tyson Chicken and oil companies, like @exxonmobil and @Chevron. 

https://t.co/hRpY1eoBAl",NinaVikingQueen,0
2022-08-01 21:41:44+00:00,1554220865062969344,"Exxon, Chevron post blockbuster profits on oil price boom https://t.co/LjVUyDZzFQ And we subsidize them with $Billions too. Not as immoral as the health care system in America...but a close second.",BoycottUtah,24
2022-08-02 23:22:17+00:00,1554608556573265920,"Big Oil Executives lie... like they're breathing air.

@APIenergy

@Chevron https://t.co/2BK5HGNOkK",jmhamiltonblog,0
2022-08-02 23:22:10+00:00,1554608525480824832,"Big Oil Executives lie... like they're breathing air.

@APIenergy

@Chevron https://t.co/6qUt45RIWC",jmhamiltonblog,0
2022-08-02 23:04:55+00:00,1554604184808439811,The nation’s biggest oil companies — @exxonmobil and @Chevron — saw their profits roughly triple in the second-quarter as Russia’s war in Ukraine upended global energy markets and left consumers stretching to cover record high pump prices. @Post_AG https://t.co/hvldqEkqWa https://t.co/xzCfSPAKGV,safe_climate,0
2022-08-02 23:00:33+00:00,1554603085615570945,"@EliseStefanik Big Oil raked in $50 billion of profits in the last three months.

Exxon: $17.9 billion
Chevron: $11.6 billion
Shell: $11.5 billion
BP: $8.5 billion

The pain working families are feeling at the pump is not inflation, it’s corporate greed.",SandraB82981565,3
2022-08-02 22:58:29+00:00,1554602567119712256,@grillmaster1029 @POTUS It’s the REFINERY process where the problem lies…Chevron used to be John D Rockefeller’s Monopoly STANDARD OIL,realMSusman,0
2022-08-02 22:55:47+00:00,1554601886535151616,@POTUS Chevron and BP post RECORD high profits…where is all the IRAQ oil that we spilled American BLOOD for????,realMSusman,0
2022-08-02 22:39:06+00:00,1554597689693818884,Oil and gas profits in the most recent quarter were astounding. Exxon Mobil made $18bn in profits in the past three months. Shell and Chevron each made nearly $12bn. Those are all record numbers.,SandraTwang,4
2022-08-02 22:17:50+00:00,1554592334360240128,"@RBReich Because our elected officials all benefit from the wealth of big oil: Please, ask them to list and post their investments; bet you Chevron, Shell, BP and  others are in that list.",RogerDo25696439,0
2022-08-02 21:56:43+00:00,1554587022790053888,@RaySchneid @EricJMoser1 @TheDemocrats Seriously? Oil and gas profits in the most recent quarter were astounding. Exxon Mobil made $18bn in profits in the past three months. Shell and Chevron each made nearly $12bn. Those are all record numbers. Stock buybacks galore.,monalewis386,0
2022-08-02 21:53:14+00:00,1554586145240989696,"2/2 @EnterpriseGrp’s revenue primarily comes from renting equipment to oil and gas companies, including majors such as @suncorenergy, @Chevron, and @conocophillips.
https://t.co/NhIi1EPNnb
#invest $E $SU $CVX $COP",FRCorp,0
2022-08-03 23:48:59+00:00,1554977662036312064,"All while Oil companies have been posting billions in record setting profits on the backs of hardworking American people. Exxon, Shell, ConocoPhillips, BP and Chevron all guilty of price gouging.",Gemasib,0
2022-08-03 23:42:32+00:00,1554976039985717249,"@NawNawiito @Layla_AlAmmar Technically she’s right. The Saudi’s backtracked on their agreements with the supermajors who found the oil and produced it. Chevron doesn’t have an army, so they wrote it off over time as Saudi went from 50 to 60 to 100% control of assets.",JDA63333604,0
2022-08-03 23:37:34+00:00,1554974788262760449,"Big Oil is back in the crosshairs of House Democrats following record profits

Shell, BP, Exxon Mobil and Chevron generated nearly $50 billion in combined profit from April through June.
https://t.co/9y9kYEx5XN @washtimes",ramsberry1,1
