Date,Open,High,Low,Close,Adj Close,Volume
2021-01-04,85.150002,85.949997,83.889999,84.709999,78.293495,9234900
2021-01-05,85.489998,89.220001,85.320000,87.000000,80.410034,13414800
2021-01-06,89.000000,90.779999,87.820000,89.800003,82.997948,13916800
2021-01-07,90.389999,90.820000,89.309998,90.220001,83.386131,9286600
2021-01-08,92.080002,92.430000,90.449997,91.080002,84.180984,11152100
2021-01-11,89.120003,92.099998,88.570000,91.599998,84.661606,10635000
2021-01-12,92.660004,93.919998,91.709999,93.339996,86.269806,10923900
2021-01-13,93.199997,93.519997,91.940002,93.250000,86.186623,9723300
2021-01-14,93.940002,96.320000,93.790001,95.489998,88.256950,13950200
2021-01-15,94.220001,94.309998,91.709999,92.089996,85.114487,10244600
2021-01-19,93.500000,95.029999,93.290001,94.510002,87.351189,9574800
2021-01-20,95.000000,95.559998,94.300003,95.379997,88.155273,8735400
2021-01-21,93.860001,94.660004,91.220001,92.010002,85.040550,10393100
2021-01-22,90.400002,92.029999,89.830002,91.730003,84.781769,7810600
2021-01-25,90.620003,91.029999,89.330002,90.900002,84.014618,7689400
2021-01-26,92.199997,92.910004,89.269997,89.360001,82.591286,7827800
2021-01-27,87.529999,90.349998,86.750000,88.199997,81.519142,10178500
2021-01-28,88.669998,90.150002,88.250000,89.019997,82.277031,8155500
2021-01-29,86.830002,87.339996,84.919998,85.199997,78.746376,14699800
2021-02-01,85.989998,87.300003,84.570000,86.410004,79.864738,8073600
2021-02-02,88.010002,88.370003,86.529999,87.059998,80.465492,9233100
2021-02-03,87.050003,89.389999,86.889999,88.959999,82.221581,9256500
2021-02-04,89.510002,89.650002,87.949997,89.000000,82.258553,7917600
2021-02-05,89.940002,90.470001,88.639999,89.260002,82.498856,8017300
2021-02-08,90.290001,92.040001,90.010002,91.480003,84.550705,9886600
2021-02-09,91.099998,91.269997,89.809998,90.959999,84.070084,7605500
2021-02-10,91.379997,92.589996,90.599998,92.519997,85.511909,8778800
2021-02-11,92.370003,92.440002,90.080002,92.019997,85.049789,8572400
2021-02-12,91.529999,92.730003,91.349998,92.550003,85.539642,7858300
2021-02-16,93.050003,93.860001,92.610001,93.129997,87.292435,14006000
2021-02-17,95.419998,96.720001,94.199997,95.919998,89.907555,14342300
2021-02-18,95.750000,95.779999,94.300003,95.000000,89.045227,9030600
2021-02-19,95.129997,96.379997,94.650002,95.800003,89.795067,8913900
2021-02-22,96.989998,99.639999,96.459999,98.389999,92.222725,13178700
2021-02-23,99.970001,100.160004,96.800003,99.629997,93.385002,14874000
2021-02-24,100.330002,104.040001,99.809998,103.309998,96.834328,16116000
2021-02-25,104.900002,104.959999,101.589996,102.349998,95.934502,13219200
2021-02-26,100.300003,101.059998,97.610001,100.000000,93.731812,14454100
2021-03-01,102.459999,103.800003,101.400002,102.050003,95.653313,10439900
2021-03-02,101.889999,103.309998,101.709999,102.440002,96.018875,10643500
2021-03-03,103.410004,105.750000,103.400002,103.589996,97.096771,14958200
2021-03-04,104.519997,107.580002,103.129997,104.500000,97.949745,22994200
2021-03-05,106.959999,109.129997,106.150002,109.000000,102.167671,23638200
2021-03-08,109.860001,110.430000,108.059998,109.750000,102.870651,18033600
2021-03-09,109.070000,110.690002,107.879997,109.500000,102.636330,19010700
2021-03-10,110.199997,112.010002,109.699997,111.370003,104.389114,17389900
2021-03-11,111.650002,112.550003,110.889999,111.190002,104.220406,10989500
2021-03-12,111.639999,112.699997,110.720001,111.559998,104.567207,10930300
2021-03-15,111.529999,111.910004,108.889999,110.250000,103.339325,10488000
2021-03-16,108.529999,108.879997,107.080002,107.639999,100.892914,11698400
2021-03-17,107.209999,108.559998,106.599998,108.029999,101.258476,9168600
2021-03-18,107.010002,107.529999,103.709999,104.120003,97.593559,13246600
