,Date,Open,High,Low,Close,Adj Close,Volume,return
0,2022-01-03,117.419998,119.690002,117.290001,119.260002,115.113411,10717700,
1,2022-01-04,119.949997,121.980003,119.660004,121.43,117.207954,16413100,0.018031964600686123
2,2022-01-05,122.239998,123.839996,122.07,122.220001,117.970497,15487100,0.0064847425830079075
3,2022-01-06,123.620003,124.32,121.639999,123.260002,118.974327,13318500,0.008473254111224904
4,2022-01-07,123.550003,125.540001,122.949997,125.029999,120.682785,14164600,0.014257738748867155
5,2022-01-10,125.150002,125.690002,123.860001,125.110001,120.76001,12626100,0.0006396578134468811
6,2022-01-11,125.860001,128.0,124.830002,127.970001,123.520561,14609000,0.02260251094156107
7,2022-01-12,127.989998,128.429993,126.470001,127.330002,122.902824,12469200,-0.005013711971274759
8,2022-01-13,127.139999,128.100006,126.449997,126.800003,122.391243,9691300,-0.004171091630130519
9,2022-01-14,126.760002,129.199997,126.760002,128.960007,124.476151,13281000,0.016891267376282215
10,2022-01-18,129.690002,130.0,127.870003,129.380005,124.881546,12905500,0.003251516222975148
11,2022-01-19,129.949997,130.149994,128.539993,128.910004,124.427887,12064300,-0.0036393317772756006
12,2022-01-20,128.270004,130.860001,127.879997,128.449997,123.983879,11370400,-0.0035748172839120684
13,2022-01-21,127.760002,128.399994,126.230003,126.910004,122.497421,13055700,-0.012061494860029498
14,2022-01-24,124.449997,127.730003,122.839996,127.18,122.758041,19513700,0.0021252004987903916
15,2022-01-25,127.120003,132.740005,125.269997,132.589996,127.979927,19984500,0.04165822411917741
16,2022-01-26,132.899994,134.710007,131.589996,132.690002,128.076462,17266500,0.0007539656626320834
17,2022-01-27,134.449997,137.0,133.589996,135.369995,130.663254,20654100,0.019996137640817757
18,2022-01-28,130.0,132.059998,128.070007,130.610001,126.068764,24817800,-0.03579594201607783
19,2022-01-31,130.190002,131.860001,129.330002,131.330002,126.763741,16401800,0.005497463580070416
20,2022-02-01,130.830002,135.740005,130.509995,134.789993,130.103439,16169700,0.02600470499165919
21,2022-02-02,134.350006,135.800003,132.800003,135.410004,130.701904,10906700,0.004589282717107679
22,2022-02-03,134.850006,135.350006,133.190002,134.199997,129.533966,9447700,-0.008976040351761583
23,2022-02-04,135.009995,137.0,135.009995,135.880005,131.155533,13034700,0.012440977906670092
24,2022-02-07,135.339996,139.429993,134.830002,138.550003,133.732712,18422500,0.019459112872263873
25,2022-02-08,138.179993,138.429993,135.009995,136.440002,131.696075,11021600,-0.015346320752917642
26,2022-02-09,136.720001,138.339996,136.100006,137.789993,132.999115,10140800,0.00984576399496273
27,2022-02-10,137.559998,138.789993,135.389999,136.039993,131.309967,11012700,-0.012781827520326416
28,2022-02-11,136.860001,139.440002,136.279999,138.809998,133.983658,12821200,0.020157168495295252
29,2022-02-14,137.940002,138.050003,135.050003,136.669998,131.91806,15945000,-0.015536830835914728
30,2022-02-15,133.080002,134.839996,132.179993,134.259995,130.952454,11746800,-0.01779106507348871
31,2022-02-16,134.949997,136.160004,133.759995,134.300003,130.991486,11348800,0.00029794459780951854
