Date,Tweet ID,Text,Username,Likes
2022-01-01 22:12:57+00:00,1477402492082302978,"@aamirismail22 While i believe we are at the brink of a bear market, the opportunities are abound with commodities like LITM and oil/gas.  Chevron should do well, and Ford.

I hope we all have big green plans!   Happy new year Aamir!",JoshBaity1,2
2022-01-01 22:01:28+00:00,1477399599849488385,"@MarkRuffalo EXPOSE CHEVRON
IN 1983 OAKLAND ,THEY HAD A HUDGE OIL SPILL INTO LAKE MERRIT ...I DISCOVERED IT..I WATCHED ALL DAY CALLED THE FIRE DEPT..EPA KTV2( They parked in my driveway &amp; asked me to keep them posted..) I CALLED THE CITY..&amp; OTHERS..THERE
WAS HEINZE 57 OIL TOO..THEY TRIED
PT2 https://t.co/FRNnba5KJM",LavaErupted,0
2022-01-01 19:40:21+00:00,1477364089290727428,"Sudan became independent on this day, January 1, 1956. 
Search for oil started in 1959. The first oil discovery was made by Chevron in 1979. 
#Sudan #Oil_History #OOTT",anasalhajji,8
2022-01-01 13:16:22+00:00,1477267457803010048,"American oil giant Chevron, and French oil giant Total, are part of a consortium of companies operating the Yadana gas field in Burma. It is possible the military could receive around half a billion dollars from this gas project in the year since the coup on 1st February.",zoyaphan,15
2022-01-01 11:48:01+00:00,1477245222149050368,"American oil giant Chevron,&amp; French oil giant Total, are part of a consortium of companies operating the Yadana gas field in Burma. Before the surge in global gas prices in the past year, the project was estimated to earn #Myanmar #TerroristsJunta around $400 million annually.",2021victoryM,0
2022-01-01 22:12:57+00:00,1477402492082302978,"@aamirismail22 While i believe we are at the brink of a bear market, the opportunities are abound with commodities like LITM and oil/gas.  Chevron should do well, and Ford.

I hope we all have big green plans!   Happy new year Aamir!",JoshBaity1,2
2022-01-01 22:01:28+00:00,1477399599849488385,"@MarkRuffalo EXPOSE CHEVRON
IN 1983 OAKLAND ,THEY HAD A HUDGE OIL SPILL INTO LAKE MERRIT ...I DISCOVERED IT..I WATCHED ALL DAY CALLED THE FIRE DEPT..EPA KTV2( They parked in my driveway &amp; asked me to keep them posted..) I CALLED THE CITY..&amp; OTHERS..THERE
WAS HEINZE 57 OIL TOO..THEY TRIED
PT2 https://t.co/FRNnba5KJM",LavaErupted,0
2022-01-01 19:40:21+00:00,1477364089290727428,"Sudan became independent on this day, January 1, 1956. 
Search for oil started in 1959. The first oil discovery was made by Chevron in 1979. 
#Sudan #Oil_History #OOTT",anasalhajji,8
2022-01-01 13:16:22+00:00,1477267457803010048,"American oil giant Chevron, and French oil giant Total, are part of a consortium of companies operating the Yadana gas field in Burma. It is possible the military could receive around half a billion dollars from this gas project in the year since the coup on 1st February.",zoyaphan,15
2022-01-01 11:48:01+00:00,1477245222149050368,"American oil giant Chevron,&amp; French oil giant Total, are part of a consortium of companies operating the Yadana gas field in Burma. Before the surge in global gas prices in the past year, the project was estimated to earn #Myanmar #TerroristsJunta around $400 million annually.",2021victoryM,0
2022-01-01 22:12:57+00:00,1477402492082302978,"@aamirismail22 While i believe we are at the brink of a bear market, the opportunities are abound with commodities like LITM and oil/gas.  Chevron should do well, and Ford.

I hope we all have big green plans!   Happy new year Aamir!",JoshBaity1,2
2022-01-01 22:01:28+00:00,1477399599849488385,"@MarkRuffalo EXPOSE CHEVRON
IN 1983 OAKLAND ,THEY HAD A HUDGE OIL SPILL INTO LAKE MERRIT ...I DISCOVERED IT..I WATCHED ALL DAY CALLED THE FIRE DEPT..EPA KTV2( They parked in my driveway &amp; asked me to keep them posted..) I CALLED THE CITY..&amp; OTHERS..THERE
WAS HEINZE 57 OIL TOO..THEY TRIED
PT2 https://t.co/FRNnba5KJM",LavaErupted,0
2022-01-01 19:40:21+00:00,1477364089290727428,"Sudan became independent on this day, January 1, 1956. 
Search for oil started in 1959. The first oil discovery was made by Chevron in 1979. 
#Sudan #Oil_History #OOTT",anasalhajji,8
2022-01-01 13:16:22+00:00,1477267457803010048,"American oil giant Chevron, and French oil giant Total, are part of a consortium of companies operating the Yadana gas field in Burma. It is possible the military could receive around half a billion dollars from this gas project in the year since the coup on 1st February.",zoyaphan,15
2022-01-01 11:48:01+00:00,1477245222149050368,"American oil giant Chevron,&amp; French oil giant Total, are part of a consortium of companies operating the Yadana gas field in Burma. Before the surge in global gas prices in the past year, the project was estimated to earn #Myanmar #TerroristsJunta around $400 million annually.",2021victoryM,0
