Date,Tweet ID,Text,Likes
2021-04-01 23:49:34+00:00,1377770142503997440,"Problems still linger at Total, Shell refineries slammed by Texas freeze $TOT $CVX https://t.co/AglUiJF5n8",0
2021-04-01 22:13:11+00:00,1377745887569575938,"Tickers with the most bearish news sentiment for 2021-04-01 as of 18:10:02 EST 
$GOEV $XPEV $GME $LUV $DASH $PLUG $FUBO $AMZN $NIO $PLTR $EH $UAL $TSLA $AAL $AMC $CVX $SNOW $AU $BABA $SPY $PYPL $FB $NFLX https://t.co/R2DzNW62XS",0
2021-04-01 20:59:02+00:00,1377727228033794050,"@YokeDatOneBloke #REBHFun Probably one of the creepiest bosses in RE, CVX deserves a remake.",1
2021-04-01 20:32:08+00:00,1377720458385182726,@CastlerookBlogs Fair enough! In a half hour (5pm EST) we’ll play a bit of CVX. 😄,1
2021-04-01 20:28:18+00:00,1377719494236323841,$CVX Second Circuit Rejects New York City Climate Change Case Against Chevron and Others https://t.co/bIHMYUDS0K,0
2021-04-01 20:22:17+00:00,1377717977144033286,".@bill_baruch joined CNBC with his outlook across stock sectors as equity indices are making new all-time highs. 

Learn more about our wealth management arm, Blue Line Capital:
https://t.co/02l89ylT0R

$CVX $KSU $RTX $SPY $USO $QQQ $IWM
https://t.co/UmehDnwl6R",1
2021-04-01 20:21:09+00:00,1377717695295197186,$CVX NEW ARTICLE : Second Circuit Rejects New York City Climate Change Case Against Chevron and Others https://t.co/7n6tqRWOhe Get all the latest $CVX related news here : https://t.co/JWbh4mxzrh https://t.co/LL4SxwEAiI,0
2021-04-01 20:05:42+00:00,1377713806529470464,"S&amp;P 500 climbs more than 1% to close above 4,000 for the first time!

$MSFT $AAPL $GOOGL $AMZN $HD $JNJ $PFE $LLY $GILD $MRK $AMGN $TSLA $NVDA $FB $DIS $NFLX $ABT $PYPL $CSCO $INTC $ORCL $PG $WMT $MA $COST $XOM $CVX https://t.co/bYt3HzUhCk",3
2021-04-01 20:04:17+00:00,1377713448176345089,Alright day to start the month. Wasn't holding much overnight so didn't catch the gap up. Made money in $UPST $ORCL $GUSH $MGM $DIS $CVX,0
2021-04-01 19:00:49+00:00,1377697474949701635,I'm going to take a guess and say the OPEC meeting went well? $CVX $OXY https://t.co/euZNyUTuf6,1
2021-04-02 23:56:40+00:00,1378134319340851200,"@scully1888 Hi Chris, been reading the article, been stopping multiple times telling myself ""wait that's not right, that's on a PS3 disc, so's that too...""

Some examples (RE: CVX, Rain, Tokyo Jungle) all had physical releases in different regions. So they won't be ""lost"" when the PSN closes",0
2021-04-02 22:17:03+00:00,1378109249075744773,Total scrambles to evacuate Mozambique LNG project amid attacks  $tot $xom $cvx #africa #extremists                 https://t.co/4slf1CDk9M https://t.co/rvovOV8Cc7,0
2021-04-02 21:50:01+00:00,1378102443758784512,Exxon and Chevron have long defined the concept of ‘Big Oil’ but now exemplify how the industry's priorities and points of emphasis are changing. @cm_energyintel and @luke_EIG discuss the strategic shifts of $XOM &amp; $CVX. Tune in here (🎧): https://t.co/7XciJYpxju,4
2021-04-02 20:47:44+00:00,1378086773037928456,Calling all whales.  $FTXP current market cap $17M - but sitting on an estimated $372M barrels of oil (after risk) and $1B hydrocarbons #oil #naturalgas $CVX $SU $MMP $BP $EEENF $COP $XOM $MRO $OXY $PSX $VLO 🐳🐳🐳🐳🐳 https://t.co/pDkCj8In73,2
2021-04-02 20:33:58+00:00,1378083308274388994,"$CVX Chevron
- One of the strongest balance sheet among oil and gas companies
- Added 832M barrels of oil-equivalent proven reserves in 2020
-Yield of 4.8%",0
2021-04-02 19:30:00+00:00,1378067208996155392,"March Dividends🔥

$V $1.15
$SBUX $2.52
$SO $4.90
$JNJ $3.77
$CVX $6.57
$XOM $9.44
$TGT $1.68
$MSFT $2.22
$MMM $3.78
$IP $6.32
$O $2.85
$STAG $1.70
$HD $3.72
$WM $2.28

Total: $52.90",75
2021-04-02 17:07:27+00:00,1378031334568964103,"@SuperBenjiZero Bawkbasoup is my go to streamer when I'm in the mood for Resident Evil. This is him doing a no save/knife only runin CVX. Not seen this before but could be worth a watch for some possible tips. 

https://t.co/anojiWMrsk",0
2021-04-02 17:01:38+00:00,1378029870488424448,@SuperBenjiZero I dropped it on Dreamcast and finished it when they put the PS2 CVX version out (which I only bought for the devil may cry demo). I have vague memories of the PS2 version being slightly easier too but I could be wrong.,0
2021-04-02 16:36:16+00:00,1378023488204779521,"would like to try getting through all of the numbered RE games by the time Village releases!
That's
RE0
REmake 1
REmake 2
REmake 3
RE4
RE5
RE7

and depending on my mood i may throw CVX in there for funsies",0
2021-04-02 16:20:46+00:00,1378019587346862084,"Corporations funding police foundations
https://t.co/QEm6BkO97m

$WFC $BAC $GS $TFC $SBUX $TGT $KO $WMT $FB $AMZN $MSFT $GOOGL $MSI $VZ $DTE $MPC $SO $CVX $HAL",1
2021-04-03 21:27:57+00:00,1378459277845786624,"So Far, A Better Year For The Dogs Of The Dow $CVX $IBM $XOM $CSCO $SPY https://t.co/AYhaAVOtIv",1
2021-04-03 19:56:50+00:00,1378436348160450566,"4/ In the post-super cycle decade of 2010-2019, 11 companies generated ROCE of 10%+, including 5 integrated oils (CVX, XOM, RDS, EQNR, TOT), 2 E&amp;Ps (CLR, 1 other), and 4 refiners (HFC, MPC, PSX, VLO). The average of these 11 was a 13% ROCE.",4
2021-04-03 19:29:48+00:00,1378429545305538566,"Okay so we’re doing an afternoon stream this week so come back in an hour, 4:30 EST, for some more CVX! 

https://t.co/pf0aAo0jnI",1
2021-04-03 18:21:38+00:00,1378412390493130755,"Prediction https://t.co/c6Yx4EGa8y 
$UNH
$HD
$CRM
$AMGN
$MCD
$MSFT
$V
$GS
$HON
$MMM
$BA
$CAT
$JNJ
$WMT
$PG
$DIS
$IBM
$NKE
$AAPL
$TRV
$AXP
$JPM
$MRK
$CVX
$VZ
$KO
$INTC
$DOW
$CSCO
$WBA",2
2021-04-03 18:12:58+00:00,1378410212403544066,"$CVX 💭 
Definitely a watcher

#Chartskool
#technicalanalysis 
#technicaltrader 
#stockstowatch
#stockswatchlist https://t.co/ibu7cGXfXT",2
2021-04-03 17:36:25+00:00,1378401010490560512,@fuckczr @RE_Games CVX and RE4! I want both!,0
2021-04-03 16:47:36+00:00,1378388725982461959,"$PXD

2021-04-01
Pioneer Natural Resources Acquires (Bolt On) DoublePoint Energy for $6.4 billion

WTI @ $61.45 #oilandgas 

$XOM $CVX $RDS $BP $OXY $COP $FANG

https://t.co/C20jJ09cOL",0
2021-04-03 14:59:40+00:00,1378361564458180616,"@DataGuyRedux J&amp;J seem an interesting choice, as they're single use. Sputnik and Pfizer have cold chain issues, and they all need to hold trials in all phases the way CVS and CVX did.",0
2021-04-03 14:26:50+00:00,1378353303403171841,@crudegusher @EnergyPeddler CVX only has 4-5 rigs no? So off this chart. Not sure about XOM.,1
2021-04-03 14:06:34+00:00,1378348201762295810,@crudegusher Permian Rigs according to @BloombergNEF. Indeed $XOM $CVX conspicuously absent. On the Anadarko basin page they show $XOM running 1 rig but they’re not mentioned anywhere else. Maybe this is focused on independents only.,0
2021-04-04 23:46:19+00:00,1378856489583017985,@Flutflut1 @JagTaggart93 So in CVX  the tentacle doesn't have a pointed end. The same tentacle Steve chops in half to free Claire is the one that pushes him back. In DSC it's a different tentacle and it still has its sharp point. Give me 5 minutes and I can let you know if the medicine does anything.,1
2021-04-04 22:58:31+00:00,1378844458276548609,@MajinTensei1 @ChronoAzure They'd be even more fire if they did a CVX remake instead of Resident Evil 4.,0
2021-04-04 20:35:28+00:00,1378808461664739329,"We are glad to help this member reach his goal. Check out what he said in his updated review of our server
$CMCSA $PEP $SAP $XOM $ABBV $ABT $TM $CRM $ORCL $CVX $ASML $LLY $TMO $AMGN $AZN $NKECHL $COST $MCD $ACN $BMY $DHR $NEE $SNY $CHTR $MDT $TMUS $QS https://t.co/YxrcErla9p",0
2021-04-04 20:15:25+00:00,1378803416051425282,"@pulte please, i need your help",0
2021-04-04 19:24:59+00:00,1378790723407986692,"@CS_Claire19 I think it needs the remake far more than RE4, even though RE4 is far from a perfect game, I think it doesn't need to be remade atleast at this moment. RE4 is more accessable, being it can be played on pretty much any console and CVX is definetely underappreciated.",1
2021-04-04 17:47:13+00:00,1378766117674565633,Which Sector has the most growth potential for this next decade $crsr $bngo $sklz $pltr $nio $tsla $amzn $psfe $ttcf $crsp $stpk $clsk $chpt $gme $msft $cciv $plug $nndm $ipoe $mp $stpk $tdoc $open $xpev $fcel $amd $arkg $aapl $eth $btc $ada $dot $cvx $one $vet $pacb $nee $amd,2
2021-04-04 17:09:19+00:00,1378756580217221120,"@Papapanida_s 💜😊
I vote @BTS_twt for Top 50 Music Awards 2020 Biggest Fans #TOP50BTS",0
2021-04-04 16:55:19+00:00,1378753057488576512,"@fuckczr @RE_Games ...yet. I'll take an RE4 remake, but it would serve the story better to do them in the correct order. Plus CVX is more in need of an overhaul, while RE4 still feels pretty modern apart from the controls.",0
2021-04-04 16:18:31+00:00,1378743794800136198,"Best and worst performing Dow Jones stocks so far in 2021

Best:
1 Walgreens $WBA +39%
2 Intel $INTC +30%
3 Caterpillar $CAT +29%
4 Chevron $CVX +27%
5 Goldman $GS +25%

Worst:
1 Apple $AAPL -7%
2 Nike $NKE -6%
3 Walmart $WMT -5.5%
4 Merck $MRK -4.9%
5 Cocal-Cola $KO -3.5%",23
2021-04-04 14:30:44+00:00,1378716672752766976,"@Julie_Denno @HopeHavoc Yup she's right , CVX is amazing and the soundtrack is the best!!",1
2021-04-05 22:13:30+00:00,1379195518761467911,"Tickers with the most bullish news sentiment for 2021-04-05 as of 18:10:02 EST 
$XOM $NFLX $PINS $NTNX $UAA $EH $CVX $AMZN $SPLK $UAL $AAL $AMC $PLTR $TSLA $GOEV $NVTA https://t.co/m8vFpQvvn7",0
2021-04-05 20:50:04+00:00,1379174520318259200,Private Equity Sees Shale Escape Route by Building Cash Flow $CVX $XOM $C $BX $APO https://t.co/5hDvPID5e4,0
2021-04-05 20:46:01+00:00,1379173504164241411,"$JPM $C $GS $AXP $APO $GE $XOM $CVX $APC 

McConnell's American Courage
https://t.co/J5cNpceYe7",1
2021-04-05 20:05:35+00:00,1379163329281806336,"Dow climbs 370 points to close at a record high amid optimism on the recovery! S&amp;P 500 jumps 1.4%!

$MSFT $AAPL $GOOGL $AMZN $CMCSA $CRM $AMD $MU $QCOM $NVDA $FB $NFLX $HD $JNJ $PFE $LLY $GILD $MRK $AMGN $TSLA $DIS $ABT $PYPL $CSCO $INTC $ORCL $PG $WMT $MA $COST $XOM $CVX https://t.co/brIH0vVnZj",2
2021-04-05 20:05:10+00:00,1379163221026725888,"Market is closed❌

My best 3: 

$CCL ⬆️ 4.65%
$DAL ⬆️ 2.91% 
$RCL ⬆️ 2.83% 

My worst 3: 

$XOM ⬇️ 1.55%
$CVX ⬇️ 1.17%
$STAG ⬇️ 0.41%

Overall: 🟩 1.31%

How’d you do?",13
2021-04-05 19:58:15+00:00,1379161482185871361,"@EllynResident I’d go, 
1. Re1 remake
2. Re 3
3. Re: cvx 
4. Re2 remake
5. Re survivor...

No but fr, #5. Re2",1
2021-04-05 19:29:44+00:00,1379154306989846530,"@AestheticGamer1 My 5 favorite RE :
1-RE4
2-Resident Evil 2 OG
3-RE7 (RE2 Remake in the same spot)
4-Resident Evil 3 OG
5-RE:CVX",1
2021-04-05 19:13:28+00:00,1379150213160574977,"Tickers with the most bullish news sentiment for 2021-04-05 as of 15:10:01 EST 
$NVTA $CVX $EH $AMC $NTNX $AMZN $PINS $PLTR $NFLX $TSLA $AAL $GOEV $XOM $UAL $SPLK $LUV $UAA https://t.co/V8Znqr5wJw",1
2021-04-05 18:57:06+00:00,1379146091086684172,US oil companies are in great shape even though the price of oil per barrel will decrease as opec increases production. Anything over $40 is profit and sitting at $59 right now $cvx,0
2021-04-05 18:14:32+00:00,1379135381455708161,"@RobertClarke_WM If people want a sizable Midland position there isn’t much left and Pioneer has made it clear they can and will deny competitors.  FANG, COP, CVX, DVN all on notice 

When the world gets down to 5-10 independents it’s probably nice to be the one owning all the Midland",4
2021-04-06 23:58:42+00:00,1379584380281135107,"@DarthDividend23 Have both, but am only buying more $CVX",0
2021-04-06 23:37:44+00:00,1379579106493300736,"We are glad to help this member reach his goal. Check out what he said in his updated review of our server
$CMCSA $PEP $SAP $XOM $ABBV $ABT $TM $CRM $ORCL $CVX $ASML $LLY $TMO $AMGN $AZN $NKECHL $COST $MCD $ACN $BMY $DHR $NEE $SNY $CHTR $MDT $TMUS $TSLA https://t.co/09Me1WTbuY",0
2021-04-06 23:22:10+00:00,1379575185494302722,@DarthDividend23 have nothing against $CVX but I only own $XOM at the moment,1
2021-04-06 22:49:51+00:00,1379567054227791872,"@DarthDividend23 $XOM has the better dividend, but $CVX is the better stock right now, but they have both run up. Im not putting money in either right now https://t.co/vtqw7DDqZo",1
2021-04-06 22:40:07+00:00,1379564603525455874,"@BigBashMan_ I hope they do know and they do work on it honestly. 
I understand there will be a lot to consider and it will have fans hating and loving their decisions. But Im totally ready for a CVX remake. I truly hope Capcom will hear our plea.",2
2021-04-06 22:13:08+00:00,1379557812448206851,"Tickers with the most bearish news sentiment for 2021-04-06 as of 18:10:02 EST 
$FUBO $GOEV $EH $NVDA $MU $TSLA $OXY $FSLY $PTON $TWTR $AMZN $PLUG $CVX $CMG $MCD $APHA $FB https://t.co/p3XGipNX4B",0
2021-04-06 21:51:23+00:00,1379552338768187396,$AAPL $CVX $NKE NEW ARTICLE : This Simple Stock Market Strategy Is Winning so Far in 2021 https://t.co/8UDUVfRZLU Get all the latest $AAPL related news here : https://t.co/hZbpp4EqUU https://t.co/ICFHc31tRp,0
2021-04-06 21:40:32+00:00,1379549610335682561,"Market closed for today

Top 3 winners:🟢
$OHI: 1.59%
$EPD: 1.48%
$SPG: 1.25%

Top 3 losers:🔴
$CVX: 0.89%
$ABBV: 0.71%
$CAH: 0.50%

Overall: 0.32%✅

How’d y’all do?👇",6
2021-04-06 21:37:49+00:00,1379548925682724867,"@jakedasenpai @REcountdown I think Capcom is just looking at it from a financial standpoint, they know RE4 is super popular and will make far more money than CVX.",2
2021-04-06 21:30:16+00:00,1379547026703192072,"$CVX $COP $CVX - Chevron downgraded at Goldman, preferring Exxon, Conoco https://t.co/NGQSBMqJoH",0
2021-04-07 22:44:10+00:00,1379928012133634052,Biden Tax Plan Targets Fossil Fuel Subsidies Worth $35 Billion $CVX $XOM $EQT https://t.co/vJ8dnEfZE6,0
2021-04-07 22:12:33+00:00,1379920057011163137,"@jimcramer, thoughts: XOM or CVX for the energy sector? #madtweets",0
2021-04-07 22:03:39+00:00,1379917816590168065,$CVX Speaks for it's self @TradeSniperSara needs to know about this https://t.co/I0bbaehLhU,22
2021-04-07 21:26:37+00:00,1379908494392967176,"Large Print $CVX Size: 511932 Price: 104.19 Time: 1726 Amount: $53,338,195.08",0
2021-04-07 21:23:41+00:00,1379907755843186690,"@TomLoughrey_LFE This time last year I would have thought PXD could be acquired by one of the big dogs (CVX,XOM, etc...). Now they are getting to the point where it might be too costly and too much Permian exposure for any of the majors to pull the trigger. Any thoughts?",0
2021-04-07 20:20:36+00:00,1379891882067517442,"$CVX Piercing Line
Daily appearances since 2010: 58
Close 5 days later ±:
Avg: -0.17
SD: 3.59
Worst: -10.23
Best: 8.44

10 days later:
Avg: 0.08
SD: 5.20
Worst: -9.84
Best: 13.02

30 days later:
Avg: 0.81
SD: 8.21
Worst: -30.16
Best: 19.15",0
2021-04-07 20:05:00+00:00,1379887955335127044,"S&amp;P 500 ekes out a record close as Fed plans to stick with easy policy!

$MSFT $AAPL $GOOGL $AMZN $CMCSA $CRM $AMD $MU $QCOM $NVDA $FB $NFLX $HD $JNJ $PFE $LLY $GILD $MRK $AMGN $TSLA $DIS $ABT $PYPL $CSCO $INTC $ORCL $PG $WMT $MA $COST $XOM $CVX https://t.co/0DGHZJX1GK",3
2021-04-07 19:16:58+00:00,1379875869687169025,"""Under the agreement, $CVX will supply Hokkaido Gas with about a half million tons of LNG over a period of five years starting April 2022""
⁦⁦@SStapczynski⁩, you see this?

#japan #asia #commodities #ongt #oott #energy #naturalgas #investing
 https://t.co/ZVp5XAOpUd",3
2021-04-07 19:00:40+00:00,1379871766651277318,"#TrendingTickers ( $DJI ):

$JPM : 154.54 (0.01 %)
$INTC : 66.34 (0.01 %)
$AAPL : 127.56 (0.01 %)
$MSFT : 250.045 (0.01 %)
$CVX : 104.25 (0.01 %)

#trading #trending #stockstowatch",0
2021-04-07 18:41:50+00:00,1379867025498120198,@dx_cvx__ LMAO I DIDN’T NOTICE BUT HE’S SHOWING HIS BUTT HELPJZHFJERGHF,0
2021-04-08 22:49:09+00:00,1380291655312543750,$CVX Chevron bought the US justice system (You know that free-floating sense that multinational corporations are above the law?) https://t.co/Ngo1tb25FV,0
2021-04-08 22:34:44+00:00,1380288025461207043,"@EphemeralTrader I would love 100 in 2 years but idk if they can get that high without the money coming in, im thinking 3-5 years =) but im still very bullish, unless a BIG oil like $XOM or $CVX wanna partner up =P",0
2021-04-08 22:17:25+00:00,1380283667977809921,"@MegamattX86 This is so hard but..

1) 2 remake.
2) 1 
3) 7
4) CVX
5) 3 Remake

I’ve already decided Village is gonna be one of the best games ever made.",1
2021-04-08 22:13:08+00:00,1380282590280749057,"Tickers with the most bullish news sentiment for 2021-04-08 as of 18:10:02 EST 
$UPS $WMT $LMT $SFIX $CVX $PLUG $MU $TWTR $GOEV $CGC $OKTA $WKHS $PTON $GLD $XPEV $AMZN https://t.co/8qbQP1xjyP",0
2021-04-08 22:05:51+00:00,1380280758397440000,CLOSE Long [ CVX ] Chevron Corporation -2.56% in 2 days https://t.co/TcgBzna7zr,0
2021-04-08 22:05:01+00:00,1380280545196732417,"I worked for Union Geothermal in the 80’s. Production is fraught with issues (scale, nasty metals, heat depletion) from the reservoir to the turbine. Excepting the Geysers, UCL sold their geothermal assets to $CVX pre-merger &amp; they couldn’t make it work either",1
2021-04-08 21:10:45+00:00,1380266892649185284,"@RetroBrando I believe you will still have access to re-download games that you already own, but for anyone that does not already own the game, they'd have to resort to piracy unless there is a new release of CVX HD.",0
2021-04-08 21:03:33+00:00,1380265078201708544,@RetroBrando I'd settle for a steam port of CVX HD since the PS3 store is being taken down this summer. CVX HD will legit be so hard to get at that point.,2
2021-04-08 21:00:26+00:00,1380264294177243136,Wish me good luck to get my first job.,0
2021-04-08 20:56:18+00:00,1380263254258298884,@sh1rocsgo @AstralisCS that Inferno 3k was insane!,0
2021-04-09 23:46:10+00:00,1380668390260543492,"Chevron Corp $CVX Has A Solid Balance Sheet Business Profile
Headquartered in San Ramon, CALIFORNIA, Chevron https://t.co/vRGaIgQqjc #stockstobuy #stockmarket #stocks #trading #investments #daytrading",0
2021-04-09 23:34:32+00:00,1380665462854459393,"Also, I'm thinking of upping the ante for when the channel hits 500 followers (3 away by the way). What would you all say to not just one Knife Only challenge but FIVE? Say RE1, RE2, RE3 (all OGs), Zero, as well as CVX? https://t.co/bTRtHvSlUc",1
2021-04-09 21:38:32+00:00,1380636272277008386,"@Julie_Denno @KittyCatCammy_ It is pretty weird to think that Claire is such a big part of Resident Evil, but numbered game wise she's only in RE2. But she has two huge ""spinoff"" games in Rev 2 and CVX and she appears in the CGI stuff a decent amount.",0
2021-04-09 20:05:23+00:00,1380612829271764994,"Dow jumps nearly 300 points to a record high, gains 2% for the week!

$MSFT $AAPL $GOOGL $AMZN $CMCSA $CRM $AMD $MU $QCOM $NVDA $FB $NFLX $HD $JNJ $PFE $LLY $GILD $MRK $AMGN $TSLA $DIS $ABT $PYPL $CSCO $INTC $ORCL $PG $WMT $MA $COST $XOM $CVX https://t.co/bR5umFEJ6A",4
